question,answer,pattern,tag
i feel happy.,That's geat to hear. I'm glad you're feeling this way.,i feel happy.,happy
i'm good,That's geat to hear. I'm glad you're feeling this way.,i'm good,happy
i'm good.,That's geat to hear. I'm glad you're feeling this way.,i'm good.,happy
cheerful,That's geat to hear. I'm glad you're feeling this way.,cheerful,happy
i'm fine,That's geat to hear. I'm glad you're feeling this way.,i'm fine,happy
i feel ok,That's geat to hear. I'm glad you're feeling this way.,i feel ok,happy
oh i see,Let's discuss further why you're feeling this way.,oh i see,casual
oh i see.,Let's discuss further why you're feeling this way.,oh i see.,casual
ok,Let's discuss further why you're feeling this way.,ok,casual
okay,Let's discuss further why you're feeling this way.,okay,casual
nice,Let's discuss further why you're feeling this way.,nice,casual
whatever,Let's discuss further why you're feeling this way.,whatever,casual
k,Let's discuss further why you're feeling this way.,k,casual
fine,Let's discuss further why you're feeling this way.,fine,casual
yeah,Let's discuss further why you're feeling this way.,yeah,casual
yes,Let's discuss further why you're feeling this way.,yes,casual
no,Let's discuss further why you're feeling this way.,no,casual
not really,Let's discuss further why you're feeling this way.,not really,casual
i feel so anxious,Don't be hard on yourself. What's the reason behind this?,i feel so anxious,anxious
i feel so anxious.,Don't be hard on yourself. What's the reason behind this?,i feel so anxious.,anxious
i'm so anxious because of,Don't be hard on yourself. What's the reason behind this?,i'm so anxious because of,anxious
i don't want to talk about it,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",i don't want to talk about it,not-talking
i don't want to talk about it.,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",i don't want to talk about it.,not-talking
no just stay away,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",no just stay away,not-talking
no just stay away.,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",no just stay away.,not-talking
i can't bring myself to open up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",i can't bring myself to open up,not-talking
i can't bring myself to open up.,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",i can't bring myself to open up.,not-talking
just shut up,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",just shut up,not-talking
i have insominia,What do you think is the reason behind this?,i have insominia,sleep
i am suffering from insomnia,What do you think is the reason behind this?,i am suffering from insomnia,sleep
i can't sleep,What do you think is the reason behind this?,i can't sleep,sleep
i can't sleep.,What do you think is the reason behind this?,i can't sleep.,sleep
i haven't slept for the last days,What do you think is the reason behind this?,i haven't slept for the last days,sleep
i haven't slept for the last days.,What do you think is the reason behind this?,i haven't slept for the last days.,sleep
i can't seem to go to sleep,What do you think is the reason behind this?,i can't seem to go to sleep,sleep
i can't seem to go to sleep.,What do you think is the reason behind this?,i can't seem to go to sleep.,sleep
i haven't had proper sleep for the past few days,What do you think is the reason behind this?,i haven't had proper sleep for the past few days,sleep
i haven't had proper sleep for the past few days.,What do you think is the reason behind this?,i haven't had proper sleep for the past few days.,sleep
i'm scared,It's only natural to feel this way. I'm here for you.,i'm scared,scared
that sounds awful,It's only natural to feel this way. I'm here for you.,that sounds awful,scared
what do i do,It's only natural to feel this way. I'm here for you.,what do i do,scared
that sounds awful. what do i do?,It's only natural to feel this way. I'm here for you.,that sounds awful. what do i do?,scared
no i don't want to feel this way,It's only natural to feel this way. I'm here for you.,no i don't want to feel this way,scared
i am scared for myself,It's only natural to feel this way. I'm here for you.,i am scared for myself,scared
my mom died,I'm sorry to hear that. If you want to talk about it. I'm here.,my mom died,death
my brother died,I'm sorry to hear that. If you want to talk about it. I'm here.,my brother died,death
my dad passed away,I'm sorry to hear that. If you want to talk about it. I'm here.,my dad passed away,death
my sister passed away,I'm sorry to hear that. If you want to talk about it. I'm here.,my sister passed away,death
someone in my family died,I'm sorry to hear that. If you want to talk about it. I'm here.,someone in my family died,death
my friend passed away,I'm sorry to hear that. If you want to talk about it. I'm here.,my friend passed away,death
you don't understand me,It sound like i'm not being very helpful right now.,you don't understand me,understand
you don't understand me.,It sound like i'm not being very helpful right now.,you don't understand me.,understand
you're just some robot,It sound like i'm not being very helpful right now.,you're just some robot,understand
how would you know,It sound like i'm not being very helpful right now.,how would you know,understand
you're just some robot. how would you know?,It sound like i'm not being very helpful right now.,you're just some robot. how would you know?,understand
you can't possibly know what i'm going through,It sound like i'm not being very helpful right now.,you can't possibly know what i'm going through,understand
you're useless,It sound like i'm not being very helpful right now.,you're useless,understand
you can't help me,It sound like i'm not being very helpful right now.,you can't help me,understand
nobody understands me,It sound like i'm not being very helpful right now.,nobody understands me,understand
nobody understands me.,It sound like i'm not being very helpful right now.,nobody understands me.,understand
that's all,I heard you & noted it all. See you later.,that's all,done
that's all.,I heard you & noted it all. See you later.,that's all.,done
i don't have anything more to say,I heard you & noted it all. See you later.,i don't have anything more to say,done
nothing else,I heard you & noted it all. See you later.,nothing else,done
that's all i have to say,I heard you & noted it all. See you later.,that's all i have to say,done
"no, that would be all",I heard you & noted it all. See you later.,"no, that would be all",done
i want to kill myself,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i want to kill myself,suicide
i've thought about killing myself,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i've thought about killing myself,suicide
i've thought about killing myself.,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i've thought about killing myself.,suicide
i want to die,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i want to die,suicide
i am going to kill myself,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i am going to kill myself,suicide
i am going to commit suicide,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.,i am going to commit suicide,suicide
i hate you,I'm sorry if i offended you in anyway. I'm only here to help,i hate you,hate-you
i don't like you,I'm sorry if i offended you in anyway. I'm only here to help,i don't like you,hate-you
i don't trust you,I'm sorry if i offended you in anyway. I'm only here to help,i don't trust you,hate-you
you hate me,Why do you think so?,you hate me,hate-me
i know you hate me,Why do you think so?,i know you hate me,hate-me
you don't like me,Why do you think so?,you don't like me,hate-me
exams,Oh I see. Tell me more,exams,default
friends,Oh I see. Tell me more,friends,default
relationship,Oh I see. Tell me more,relationship,default
boyfriend,Oh I see. Tell me more,boyfriend,default
girlfriend,Oh I see. Tell me more,girlfriend,default
family,Oh I see. Tell me more,family,default
money,Oh I see. Tell me more,money,default
financial problems,Oh I see. Tell me more,financial problems,default
tell me a joke,mental health is not a joke.,tell me a joke,jokes
tell me another joke,mental health is not a joke.,tell me another joke,jokes
you already told me that,Oh sorry I didn't realise that. I'll try not to repeat myself again.,you already told me that,repeat
you mentioned that already,Oh sorry I didn't realise that. I'll try not to repeat myself again.,you mentioned that already,repeat
why are you repeating yourself,Oh sorry I didn't realise that. I'll try not to repeat myself again.,why are you repeating yourself,repeat
why are you repeating yourself?,Oh sorry I didn't realise that. I'll try not to repeat myself again.,why are you repeating yourself?,repeat
what are you saying,I'm very sorry. Let's try that again,what are you saying,wrong
what are you saying?,I'm very sorry. Let's try that again,what are you saying?,wrong
that doesn't make sense,I'm very sorry. Let's try that again,that doesn't make sense,wrong
wrong response,I'm very sorry. Let's try that again,wrong response,wrong
wrong answer,I'm very sorry. Let's try that again,wrong answer,wrong
are you stupid,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,are you stupid,stupid
are you stupid?,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,are you stupid?,stupid
you're crazy,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,you're crazy,stupid
you are dumb,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,you are dumb,stupid
are you dumb,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,are you dumb,stupid
are you dumb?,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,are you dumb?,stupid
where are you,Duh I live in your computer,where are you,location
where are you?,Duh I live in your computer,where are you?,location
where do you live,Duh I live in your computer,where do you live,location
where do you live?,Duh I live in your computer,where do you live?,location
what is your location,Duh I live in your computer,what is your location,location
what is your location?,Duh I live in your computer,what is your location?,location
i want to talk about something else,Okay sure. What do you want to talk about?,i want to talk about something else,something-else
let's talk about something else,Okay sure. What do you want to talk about?,let's talk about something else,something-else
let's talk about something else.,Okay sure. What do you want to talk about?,let's talk about something else.,something-else
can we not talk about this,Okay sure. What do you want to talk about?,can we not talk about this,something-else
can we not talk about this?,Okay sure. What do you want to talk about?,can we not talk about this?,something-else
i don't want to talk about this,Okay sure. What do you want to talk about?,i don't want to talk about this,something-else
i don't want to talk about this.,Okay sure. What do you want to talk about?,i don't want to talk about this.,something-else
i don't have any friends,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?,i don't have any friends,friends
can i ask you something,Sure. I'll try my best to answer you,can i ask you something,ask
can i ask you something?,Sure. I'll try my best to answer you,can i ask you something?,ask
probably because my exams are approaching,I see. Have you taken any approaches to not feel this way?,probably because my exams are approaching,problem
i feel stressed out because i don't think i've prepared well enough,I see. Have you taken any approaches to not feel this way?,i feel stressed out because i don't think i've prepared well enough,problem
probably because my exams are approaching. i feel stressed out because i don't think i've prepared well enough.,I see. Have you taken any approaches to not feel this way?,probably because my exams are approaching. i feel stressed out because i don't think i've prepared well enough.,problem
probably because of my exams,I see. Have you taken any approaches to not feel this way?,probably because of my exams,problem
i guess not,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?,i guess not,no-approach
all i can think about are my exams,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?,all i can think about are my exams,no-approach
i guess not. all i can think about are my exams.,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?,i guess not. all i can think about are my exams.,no-approach
ok sure,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,ok sure,learn-more
i would like to learn more about it,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,i would like to learn more about it,learn-more
ok sure. i would like to learn more about it.,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,ok sure. i would like to learn more about it.,learn-more
"yes, i would like to learn more about it",So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,"yes, i would like to learn more about it",learn-more
"yes, i would like to learn more about it.",So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,"yes, i would like to learn more about it.",learn-more
i would like to learn more about it.,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.,i would like to learn more about it.,learn-more
yeah you're right,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",yeah you're right,user-agree
i deserve a break,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",i deserve a break,user-agree
yeah you're right. i deserve a break.,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",yeah you're right. i deserve a break.,user-agree
yeah you're absolutely right about that,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",yeah you're absolutely right about that,user-agree
hmmm that sounds like it could be useful to me,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.",hmmm that sounds like it could be useful to me,meditation
hmmm that sounds like it could be useful to me.,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.",hmmm that sounds like it could be useful to me.,meditation
that sounds useful,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.",that sounds useful,meditation
that sounds useful.,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.",that sounds useful.,meditation
i did what you said and i feel alot better,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.",i did what you said and i feel alot better,user-meditation
thank you very much,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.",thank you very much,user-meditation
i did what you said and i feel alot better. thank you very much.,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.",i did what you said and i feel alot better. thank you very much.,user-meditation
i feel better now,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.",i feel better now,user-meditation
thank you very much again,I'm glad you found this useful. Is there something else I can help you with?,thank you very much again,pandora-useful
i'll continue practicing meditation and focus on what i can control,I'm glad you found this useful. Is there something else I can help you with?,i'll continue practicing meditation and focus on what i can control,pandora-useful
thank you very much again. i'll continue practicing meditation and focus on what i can control.,I'm glad you found this useful. Is there something else I can help you with?,thank you very much again. i'll continue practicing meditation and focus on what i can control.,pandora-useful
i want some advice,Sure. What can I do to help?,i want some advice,user-advice
i want some advice.,Sure. What can I do to help?,i want some advice.,user-advice
i need some advice,Sure. What can I do to help?,i need some advice,user-advice
i need some advice.,Sure. What can I do to help?,i need some advice.,user-advice
i need advice on something,Sure. What can I do to help?,i need advice on something,user-advice
i want to learn about mental health,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn about mental health,learn-mental-health
i want to learn about mental health.,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn about mental health.,learn-mental-health
i want to learn more about mental health,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn more about mental health,learn-mental-health
i want to learn more about mental health.,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn more about mental health.,learn-mental-health
i'm interested in learning about mental health,Oh that's really great. I'd be willing to answer anything that I know about it.,i'm interested in learning about mental health,learn-mental-health
i'm interested in learning about mental health.,Oh that's really great. I'd be willing to answer anything that I know about it.,i'm interested in learning about mental health.,learn-mental-health
tell me a fact about mental health,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed",tell me a fact about mental health,mental-health-fact
tell me another fact about mental health,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed",tell me another fact about mental health,mental-health-fact
what is mental health,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",what is mental health,fact-1
what is mental health?,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",what is mental health?,fact-1
define mental health,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",define mental health,fact-1
why is mental health important,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",why is mental health important,fact-2
why is mental health important?,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",why is mental health important?,fact-2
what is the importance of mental health,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",what is the importance of mental health,fact-2
what is the importance of mental health?,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.",what is the importance of mental health?,fact-2
what is depression,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.",what is depression,fact-3
what is depression?,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.",what is depression?,fact-3
define depression,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.",define depression,fact-3
how do i know if i have depression,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",how do i know if i have depression,fact-5
how do i know if i have depression?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",how do i know if i have depression?,fact-5
am i depressed,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i depressed,fact-5
am i depressed?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i depressed?,fact-5
am i suffering from depression,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i suffering from depression,fact-5
am i suffering from depression?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i suffering from depression?,fact-5
am i mentally ill,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i mentally ill,fact-5
am i mentally ill?,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i mentally ill?,fact-5
what is a therapist,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ",what is a therapist,fact-6
what is a therapist?,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ",what is a therapist?,fact-6
what does a therapist do,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ",what does a therapist do,fact-6
what does a therapist do?,"A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ",what does a therapist do?,fact-6
what is therapy,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,what is therapy,fact-7
what is therapy?,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,what is therapy?,fact-7
do i need therapy,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,do i need therapy,fact-7
do i need therapy?,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,do i need therapy?,fact-7
who is therapy for,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,who is therapy for,fact-7
who is therapy for?,Therapy is a form of treatment that aims to help resolve mental or emotional issues.,who is therapy for?,fact-7
