question,answer,pattern,tag
I’m looking for advice on unable to focus scared when I think about the future. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on unable to focus scared when I think about the future. What can I do?,scared
I keep experiencing exhausted worthless when I think about the future. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing exhausted worthless when I think about the future. What can I do?,worthless
I keep experiencing numb repeat. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing numb repeat. What can I do?,repeat
what do i do,It's only natural to feel this way. I'm here for you.,what do i do,scared
what causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",what causes mental health problems?,fact-27
i can't do anything.,It's only natural to feel this way. Tell me more. What else is on your mind?,i can't do anything.,worthless
everything feels overwhelming,Let’s sort things into 'can control' and 'can't control'. What’s one small step you can take today?,everything feels overwhelming,stressed
i'm slipping again,Let’s review your coping tools—what helped even a little before?,i'm slipping again,relapse
what is your name,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",what is your name,about
I don’t know how to handle down when I’m alone. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle down when I’m alone. What can I do?,help
I’m worried about ashamed during the day. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about ashamed during the day. What can I do?,fact-23
Lately I feel down hate-me before going to bed. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel down hate-me before going to bed. What can I do?,hate-me
Lately I feel numb after I wake up. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel numb after I wake up. What can I do?,user-advice
I need help with numb with my friends. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. When anxiety spikes, it can feel scary—try to slow your breath and orient to the room around you. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with numb with my friends. What can I do?,panic-attack
i am happy,That's geat to hear. I'm glad you're feeling this way.,i am happy,happy
will i ever get better,Recovery is possible and rarely linear. You’re already taking a brave step by talking about it.,will i ever get better,hope
i haven't had proper sleep for the past few days.,What do you think is the reason behind this?,i haven't had proper sleep for the past few days.,sleep
you hate me,Why do you think so?,you hate me,hate-me
I don’t know how to handle unable to focus when I’m alone. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle unable to focus when I’m alone. What can I do?,relapse
i don't even know where to start,"Let’s do a brain dump—list it all, then pick just one 'must' for today.",i don't even know where to start,overwhelm
work is stressing me out,Let’s sort things into 'can control' and 'can't control'. What’s one small step you can take today?,work is stressing me out,stressed
i think i'm slipping back into depression,"I’m really sorry you’re going through this. What support has helped you before, even a little?",i think i'm slipping back into depression,depressed
It’s hard for me because of numb fact-6 at night. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of numb fact-6 at night. What can I do?,fact-6
I keep experiencing restless depressed after I wake up. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Low mood can make everything heavier—tiny, kind actions for yourself count. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing restless depressed after I wake up. What can I do?,depressed
how can i maintain social connections,"A lot of people are alone right now, but we don't have to be lonely. We're all in this together. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesn't build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies don't help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at times. Maybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs aren't met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so don't be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone.",how can i maintain social connections,fact-30
I don’t know how to handle worried user-advice during the day. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle worried user-advice during the day. What can I do?,user-advice
I need help with unable to focus when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with unable to focus when I think about the future. What can I do?,fact-17
I don’t know how to handle worried night especially at work. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle worried night especially at work. What can I do?,night
my heart is racing and i can't breathe,"You might be experiencing a panic spike. Let's try a quick exercise: inhale 4, hold 4, exhale 6—repeat 5 times.",my heart is racing and i can't breathe,panic-attack
I’m looking for advice on drained during the day. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on drained during the day. What can I do?,fact-11
I don’t know how to handle stuck ask. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle stuck ask. What can I do?,ask
I keep experiencing drained. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I keep experiencing drained. What can I do?,fact-11
how do i find a therapist,Therapy can offer a safe space to work through patterns. Would you like tips for finding providers near you?,how do i find a therapist,therapy
I’m struggling with hopeless fact-30 around my family. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with hopeless fact-30 around my family. What can I do?,fact-30
i'm dissociating,"Let’s ground: name 5 things you can see, 4 touch, 3 hear, 2 smell, 1 taste.",i'm dissociating,grounding
i want to disappear,"I’m really sorry you’re feeling this pain. You deserve support. If you’re in immediate danger, please contact local emergency services. You can also reach a trusted person or your local crisis line.",i want to disappear,suicide
i feel down,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?",i feel down,sad
let's talk about something else.,Okay sure. What do you want to talk about?,let's talk about something else.,something-else
i'm worried i'll feel like this forever,Recovery is possible and rarely linear. You’re already taking a brave step by talking about it.,i'm worried i'll feel like this forever,hope
i am so stressed out,What do you think is causing this?,i am so stressed out,stressed
I’m looking for advice on exhausted sad. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Low mood can make everything heavier—tiny, kind actions for yourself count. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on exhausted sad. What can I do?,sad
getting out of bed is hard,"If it feels safe, can you share what a tough day looks like for you?",getting out of bed is hard,depressed
i can't get anything done,Let’s shrink the goal. What would a 'good enough' version look like today?,i can't get anything done,motivation
i push people away,You're not alone in this. What kind of friend do you want to be—and to have?,i push people away,friends
please give me some space,Thanks for telling me your boundary. We can switch topics if you prefer.,please give me some space,not-talking
Lately I feel restless therapy after I wake up. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Different strategies help different people—try small steps and notice what supports you best. Try a slow breathing exercise: inhale for 4, hold 4, exhale for 6, for 3–5 minutes. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel restless therapy after I wake up. What can I do?,therapy
I’m worried about stuck default before going to bed. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m worried about stuck default before going to bed. What can I do?,default
should i see a therapist,First sessions are usually about your goals and history. You can ask questions and set boundaries.,should i see a therapist,therapy
I’m struggling with exhausted during the day. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If you have access, a brief chat with a counselor can help you find tools that fit you. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m struggling with exhausted during the day. What can I do?,fact-16
I’m looking for advice on exhausted neutral-response. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on exhausted neutral-response. What can I do?,neutral-response
am i mentally ill,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.",am i mentally ill,fact-5
It’s hard for me because of burned out when I think about the future. What can I do?,"Thanks for sharing this. You’re not alone in feeling this way. Low mood can make everything heavier—tiny, kind actions for yourself count. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of burned out when I think about the future. What can I do?,sad
i'm afraid something bad will happen,Fear can feel intense. Do you want to try slow breathing with me for a minute?,i'm afraid something bad will happen,scared
Lately I feel restless learn-more with my friends. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel restless learn-more with my friends. What can I do?,learn-more
i can't switch off my brain,Let’s sort things into 'can control' and 'can't control'. What’s one small step you can take today?,i can't switch off my brain,stressed
i don't want to talk about this,Okay sure. What do you want to talk about?,i don't want to talk about this,something-else
i am sad,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?",i am sad,sad
i want to learn more about mental health.,Oh that's really great. I'd be willing to answer anything that I know about it.,i want to learn more about mental health.,learn-mental-health
what's your name?,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today",what's your name?,about
i'm ashamed of who i am,"If repair is possible, what’s one small step toward it? If not, what’s one step toward acceptance?",i'm ashamed of who i am,guilt-shame
i feel rage inside me,"Let’s pause and unclench—jaw, shoulders, hands. What need is going unmet here?",i feel rage inside me,anger
I need help with overwhelmed fact-20. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Name and notice: label what you feel, where you feel it in your body, and rate its intensity from 1–10. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with overwhelmed fact-20. What can I do?,fact-20
hmmm that sounds like it could be useful to me,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.",hmmm that sounds like it could be useful to me,meditation
i'm not ready to share,No pressure. Would grounding or breathing help while we wait?,i'm not ready to share,not-talking
can you prevent mental health problems,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",can you prevent mental health problems,fact-25
I’m looking for advice on on edge done. What can I do?,"I’m really glad you reached out—what you’re feeling is valid. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on on edge done. What can I do?,done
i want to slow my breathing,"Try this: inhale through your nose for 4, hold for 4, exhale through your mouth for 6. Let’s do 6 rounds together.",i want to slow my breathing,breathing-exercise
how can i find a mental health professional right for my child or myself,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.,how can i find a mental health professional right for my child or myself,fact-18
what is mental health?,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",what is mental health?,fact-1
i can't forgive myself,"If repair is possible, what’s one small step toward it? If not, what’s one step toward acceptance?",i can't forgive myself,guilt-shame
i'm scared to open up to people,Feeling disconnected hurts. Would you like to plan one small step to reach out this week?,i'm scared to open up to people,friends
i feel empty inside,I hear you. That can be really heavy to carry. What’s been hardest this week?,i feel empty inside,sad
is there any cure for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",is there any cure for mental health problems?,fact-26
everything feels unreal,"Pick any object near you and describe it in detail—shape, color, weight.",everything feels unreal,grounding
i'm ashamed of who i am,Guilt and shame can feel crushing. What value of yours do you think was crossed?,i'm ashamed of who i am,guilt-shame
Lately I feel hopeless after I wake up. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Write down one small step you can take today and one thing that helped you in the past. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",Lately I feel hopeless after I wake up. What can I do?,repeat
where else can i get help?,"Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout the country that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.",where else can i get help?,fact-19
It’s hard for me because of ashamed fact-7. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of ashamed fact-7. What can I do?,fact-7
give me a hand please,Sure. Tell me how can i assist you,give me a hand please,help
are there cures for mental health problems,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",are there cures for mental health problems,fact-26
I don’t know how to handle restless. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I don’t know how to handle restless. What can I do?,pandora-useful
i feel like a failure,Let’s gently check the evidence for and against that thought. What facts support the kinder view?,i feel like a failure,worthless
let's talk about something else,Okay sure. What do you want to talk about?,let's talk about something else,something-else
i want some advice.,Sure. What can I do to help?,i want some advice.,user-advice
It’s hard for me because of hopeless suicide when I think about the future. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. I’m really glad you’re talking about this—safety comes first; keep crisis contacts handy. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",It’s hard for me because of hopeless suicide when I think about the future. What can I do?,suicide
i need help,Sure. Tell me how can i assist you,i need help,help
is recovery possible,Many people feel better with support and small consistent steps. What support could we try next?,is recovery possible,hope
i feel guilty about everything,Guilt and shame can feel crushing. What value of yours do you think was crossed?,i feel guilty about everything,guilt-shame
what should i do after a hard day,Would you like a 3-item self-care plan for today?,what should i do after a hard day,self-care
what happens in therapy,Therapy can offer a safe space to work through patterns. Would you like tips for finding providers near you?,what happens in therapy,therapy
i don't feel like moving,Consider pairing a task with a reward—what small treat could follow it?,i don't feel like moving,motivation
what is mental health,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community",what is mental health,fact-1
no one texts me back,You're not alone in this. What kind of friend do you want to be—and to have?,no one texts me back,friends
i keep snapping at people,"Let’s pause and unclench—jaw, shoulders, hands. What need is going unmet here?",i keep snapping at people,anger
I need help with stuck skill with my friends. What can I do?,"That sounds really tough, and it makes sense that you’re overwhelmed. Different strategies help different people—try small steps and notice what supports you best. Schedule a 10-minute gentle walk or stretch to reset your nervous system. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I need help with stuck skill with my friends. What can I do?,skill
i want to talk about something else,Okay sure. What do you want to talk about?,i want to talk about something else,something-else
i don't feel like moving,Motivation often follows action. What’s a 2-minute task you can try right now?,i don't feel like moving,motivation
I’ve been feeling worried fact-29. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. If this keeps getting in the way of daily life, consider talking to a licensed professional. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’ve been feeling worried fact-29. What can I do?,fact-29
what are you saying?,I'm very sorry. Let's try that again,what are you saying?,wrong
i don't want to talk about it,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me.",i don't want to talk about it,not-talking
whatever,Let's discuss further why you're feeling this way.,whatever,casual
yeah you're right,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.",yeah you're right,user-agree
i feel unsafe,Fear can feel intense. Do you want to try slow breathing with me for a minute?,i feel unsafe,scared
I’m looking for advice on hopeless after I wake up. What can I do?,"It’s okay to take this one step at a time—you’re doing your best. Different strategies help different people—try small steps and notice what supports you best. Do a quick grounding check: look for 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. You might also reach out to someone you trust and let them know how you’re feeling. If you ever feel at risk of harm, please contact local emergency services or a crisis helpline available in your area.",I’m looking for advice on hopeless after I wake up. What can I do?,fact-28
please give me some space,I respect your pace. I’ll be here when you’re ready.,please give me some space,not-talking
you are dumb,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful,you are dumb,stupid
i feel shakey and tense,Fear can feel intense. Do you want to try slow breathing with me for a minute?,i feel shakey and tense,scared
i'm always on edge,You're not alone in this. What thoughts show up right before the anxiety spikes?,i'm always on edge,anxious
i feel empty inside,Would talking through today help a little? I'm here to listen.,i feel empty inside,sad
life isn't worth living,"If you can, please consider contacting your local crisis hotline or emergency services. You matter and help is available.",life isn't worth living,suicide
what causes mental health problems,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",what causes mental health problems,fact-27
i'm scared,It's only natural to feel this way. I'm here for you.,i'm scared,scared
where else can i get help,"Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout the country that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.",where else can i get help,fact-19
